playerID,yearID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,awardID,set
sirijo01,2022,AL,OF,100,88,2358,242,1,2,0,false,train
solissa01,2016,NL,P,37,0,123,0,3,0,0,false,train
arenano01,2021,NL,3B,155,155,3936,125,287,11,38,true,train
youngch04,2016,AL,OF,69,53,1473,103,0,0,0,false,train
grandcu01,2018,NL,OF,15,10,271,14,0,0,0,false,train
andujmi01,2018,AL,3B,136,132,3508,93,178,15,6,false,train
frandke01,2014,NL,3B,16,12,365,14,22,2,0,false,train
galleza01,2021,NL,P,23,23,364,4,11,1,0,false,train
nevinty01,2023,AL,3B,14,10,241,9,13,2,1,false,test
flowety01,2015,AL,C,110,100,2635,877,63,5,10,false,train
bacusda01,2020,NL,P,11,0,34,1,5,0,0,false,train
mathije01,2013,NL,C,73,70,1845,520,30,1,2,false,train
arciaor01,2020,NL,P,2,0,6,0,0,0,0,false,train
harpebr03,2014,NL,OF,98,94,2524,166,9,4,0,false,train
lavarry01,2017,AL,C,5,4,105,31,1,1,0,false,train
riosya01,2017,NL,P,13,0,49,0,0,0,0,false,train
youngch04,2018,AL,OF,48,31,882,56,2,1,0,false,train
kingmi01,2020,AL,P,9,4,80,2,4,1,0,false,train
ryuhy01,2016,NL,P,1,1,14,0,2,0,0,false,train
wainwad01,2020,NL,P,10,10,197,2,8,0,0,false,train
castrha01,2021,AL,SS,43,34,873,34,83,0,12,false,train
dudalu01,2016,NL,1B,45,40,1062,313,23,3,26,false,train
breslcr01,2015,AL,P,45,2,195,3,5,1,1,false,train
crockky01,2016,AL,P,29,0,48,1,3,0,0,false,train
thatcjo01,2015,AL,P,43,0,68,0,3,0,0,false,train
mengdda01,2017,AL,P,7,7,129,3,7,0,1,false,train
mcgehca01,2015,NL,3B,42,39,989,21,65,6,6,false,train
reedco01,2016,NL,P,10,10,143,3,7,0,0,false,train
kempto01,2020,AL,2B,43,31,775,49,55,1,12,false,train
wieckbr01,2020,NL,P,1,0,3,0,0,0,0,false,train
taylobe04,2018,AL,C,6,0,33,10,1,0,0,false,train
duffyma01,2022,AL,2B,17,7,225,14,27,2,10,false,train
blandal01,2018,NL,1B,1,0,3,3,0,0,0,false,train
beckhti01,2017,AL,3B,1,0,3,1,0,0,0,false,train
dickeco01,2018,NL,OF,124,122,3172,255,7,1,5,false,train
jimenel02,2021,AL,OF,37,37,912,59,1,1,0,false,train
stassma01,2013,AL,C,1,0,9,1,1,0,0,false,train
ibanean01,2023,AL,3B,16,8,252,5,15,1,2,false,test
greinza01,2020,AL,P,12,12,201,9,7,0,3,false,train
gavigsa01,2020,AL,P,4,0,9,0,0,0,0,false,train
renfrhu01,2023,AL,1B,5,5,117,23,2,0,1,false,test
castrha01,2023,NL,2B,68,56,1414,105,143,3,49,false,test
diekmja01,2017,AL,P,11,0,32,0,0,0,0,false,train
bushma01,2021,AL,P,4,0,12,0,0,0,0,false,train
barneda02,2018,AL,P,47,0,123,1,2,1,0,false,train
reimono01,2013,AL,OF,11,11,270,24,2,0,1,false,train
wynnsau01,2021,AL,P,1,0,3,0,0,0,0,false,train
bautijo02,2013,AL,3B,3,2,64,1,1,0,0,false,train
crochga01,2023,AL,P,13,0,38,1,0,1,0,false,test
smolija01,2014,AL,OF,21,20,516,41,0,0,0,false,train
pearcst01,2017,AL,OF,85,77,1911,132,2,2,0,false,train
kershcl01,2017,NL,P,27,27,525,4,18,1,0,false,train
delarjo01,2017,NL,P,65,0,154,5,6,0,0,false,train
frankni01,2013,AL,SS,3,2,62,4,10,0,3,false,train
feierry01,2014,AL,P,6,0,22,2,1,1,0,false,train
mercejo03,2019,AL,1B,5,5,132,28,5,0,3,false,train
tropeni01,2021,NL,P,5,0,24,1,1,0,0,false,train
obriepe04,2016,NL,1B,1,0,3,0,1,0,0,false,train
izturce01,2013,NL,SS,29,15,497,23,45,1,10,false,train
tauchmi01,2021,NL,OF,51,40,1038,69,1,1,0,false,train
iwakuhi01,2013,AL,P,33,33,659,13,26,1,2,false,train
holtbr01,2018,AL,3B,5,4,105,4,5,0,0,false,train
mileywa01,2015,AL,P,32,32,581,7,30,1,1,false,train
aluja01,2023,NL,2B,24,17,480,30,37,1,9,false,test
wolteto01,2020,NL,2B,4,0,18,2,2,0,0,false,train
pencehu01,2015,NL,OF,51,50,1323,122,4,3,2,false,train
inciaen01,2014,NL,OF,114,98,2727,266,10,5,0,false,train
phillbr02,2023,AL,OF,31,18,554,66,0,1,0,false,test
floripe01,2017,NL,OF,11,10,237,18,1,0,0,false,train
sadleca02,2019,AL,P,9,0,58,1,4,1,0,false,train
nolasri01,2016,AL,P,32,32,593,10,23,2,2,false,train
morgaad01,2018,NL,P,67,0,148,4,9,0,1,false,train
perezro02,2021,AL,C,43,43,1092,375,11,4,1,false,train
mooredy01,2023,AL,SS,9,5,171,6,16,2,4,false,test
clemeko01,2022,AL,3B,17,11,288,5,20,1,6,false,train
kellyza01,2023,AL,P,8,0,28,1,1,0,1,false,test
kellyjo05,2021,NL,P,48,0,132,2,4,0,0,false,train
sweenda02,2015,NL,3B,1,0,6,0,0,0,0,false,train
wrighky01,2022,NL,P,30,30,541,23,23,0,1,false,train
biagijo01,2016,AL,P,60,0,203,3,11,2,0,false,train
sanchhe01,2015,NL,C,16,11,303,69,6,0,1,false,train
marshbr02,2021,AL,OF,70,63,1704,154,1,1,0,false,train
carroco01,2020,AL,P,3,0,6,0,0,0,0,false,train
marteyu01,2022,NL,P,39,0,144,0,7,0,1,false,train
davidma02,2018,AL,1B,45,41,1129,335,13,2,23,false,train
millebr02,2013,AL,SS,68,62,1683,87,155,7,30,false,train
tovarwi01,2013,NL,SS,7,5,139,5,15,0,4,false,train
younger03,2014,NL,OF,73,65,1741,128,6,1,1,false,train
hendrli01,2022,AL,P,58,0,173,1,5,1,0,false,train
wadela01,2023,NL,OF,23,10,336,20,0,0,0,false,test
bertijo01,2023,NL,OF,19,11,324,31,1,1,1,false,test
kellyty01,2018,NL,3B,1,0,16,1,1,0,1,false,train
grandya01,2013,NL,1B,1,0,15,4,0,0,1,false,train
riddljt01,2021,AL,SS,3,2,48,0,6,0,1,false,train
mattsis01,2021,AL,P,4,0,13,0,0,0,0,false,train
martiru01,2016,AL,C,127,119,3208,989,55,4,3,false,train
wilsoja03,2021,AL,2B,4,2,48,2,4,0,1,false,train
morrico01,2022,AL,P,7,5,71,2,1,0,1,false,train
brossmi01,2019,AL,3B,18,11,333,12,18,1,2,false,train
odorija01,2022,NL,P,10,10,139,3,5,1,1,false,train
baezja01,2016,NL,SS,25,21,582,40,61,2,13,false,train
bostich01,2018,NL,2B,2,1,24,2,1,0,1,false,train
nanceto01,2022,NL,P,35,2,131,1,4,0,0,false,train
fontwi01,2020,AL,P,21,0,49,0,1,0,0,false,train
parkho01,2021,NL,3B,9,8,183,5,11,0,2,false,train
arrieja01,2017,NL,P,30,30,505,15,26,2,2,false,train
kempma01,2020,NL,OF,1,1,18,2,0,0,0,false,train
martini01,2022,NL,P,47,10,319,13,11,3,2,false,train
lawribr01,2013,AL,3B,103,101,2666,68,189,10,19,false,train
smithca02,2016,AL,P,3,0,8,0,0,0,0,false,train
alberma01,2013,AL,P,56,0,189,4,11,1,1,false,train
hampsga01,2019,NL,2B,50,40,1078,80,109,5,27,false,train
vogelda01,2019,AL,1B,57,49,1265,394,22,2,45,false,train
kineris01,2020,AL,SS,15,15,363,12,31,0,6,false,train
teperry01,2021,NL,P,43,0,130,0,4,1,0,false,train
acunaro01,2018,NL,OF,108,107,2808,184,3,5,0,false,train
davisja03,2020,NL,OF,4,4,93,8,1,1,0,false,train
inciaen01,2016,NL,OF,129,126,3383,351,14,4,4,true,train
akinke01,2022,AL,P,45,1,245,3,11,0,2,false,train
solakni01,2019,AL,2B,5,5,141,6,9,0,3,false,train
knebeco01,2021,NL,P,27,4,77,3,2,0,1,false,train
sanchca01,2015,AL,2B,117,112,2989,229,268,5,83,false,train
alvarjo02,2014,AL,P,2,0,2,0,0,0,0,false,train
perazos02,2022,AL,SS,12,11,267,11,22,0,4,false,train
ogradch01,2017,NL,P,13,6,99,2,5,0,1,false,train
phillbr01,2013,NL,2B,151,151,4041,278,428,9,84,true,train
odayda01,2021,AL,P,12,0,32,0,1,0,0,false,train
leblawa01,2018,AL,P,32,27,486,7,13,0,1,false,train
lopezni01,2022,AL,SS,52,45,1218,62,153,4,42,false,train
wislema01,2016,NL,P,27,26,470,7,18,0,0,false,train
santihe01,2018,AL,P,49,7,306,3,7,0,1,false,train
campber01,2014,NL,OF,23,8,304,24,2,0,1,false,train
wislema01,2020,AL,P,18,4,76,0,0,0,0,false,train
canoro01,2018,AL,2B,69,65,1684,111,146,1,44,false,train
spangco01,2022,NL,3B,1,0,3,0,0,0,0,false,train
plaweke01,2017,NL,P,2,0,9,0,0,0,0,false,train
profaju01,2019,AL,OF,7,6,138,8,0,0,0,false,train
blankky01,2013,NL,1B,34,21,626,199,14,2,19,false,train
vendipa01,2020,NL,P,3,0,13,0,0,0,0,false,train
carpema01,2021,NL,3B,6,4,113,2,5,0,0,false,train
souzast01,2016,AL,OF,113,110,2888,232,8,4,1,false,train
bandyje01,2018,NL,C,22,19,509,167,7,1,1,false,train
rodrise01,2016,NL,1B,57,5,523,176,14,1,17,false,train
deverra01,2021,AL,2B,2,0,9,0,1,0,0,false,train
willima07,2019,AL,OF,9,8,216,14,1,1,0,false,train
zuberty01,2020,AL,P,23,0,66,0,2,0,0,false,train
bummeaa01,2022,AL,P,32,0,80,0,2,0,0,false,train
ambrihe01,2014,NL,P,1,0,6,0,0,0,0,false,train
reedad01,2013,AL,P,68,0,214,6,5,0,0,false,train
tayloch03,2020,NL,2B,13,11,253,12,24,1,3,false,train
ravinjo01,2018,NL,P,2,0,9,1,1,0,0,false,train
liriafr01,2016,NL,P,21,21,341,2,18,2,2,false,train
hillaa01,2017,NL,3B,7,6,162,3,11,2,0,false,train
moranco01,2019,NL,OF,2,2,48,2,0,0,0,false,train
leeda02,2016,AL,1B,84,70,1866,554,28,2,68,false,train
guerrma02,2014,AL,P,27,0,84,3,3,0,0,false,train
lemahdj01,2014,NL,SS,1,0,3,0,0,0,0,false,train
paredis01,2023,AL,3B,116,109,2800,69,186,11,17,false,test
huangwe01,2019,AL,P,4,0,17,1,0,0,0,false,train
morriak01,2015,NL,P,1,0,2,0,0,0,0,false,train
garcile02,2013,AL,2B,21,15,426,30,56,2,14,false,train
briesbe01,2023,AL,P,25,1,105,0,3,0,0,false,test
quinnro01,2019,NL,OF,34,23,706,58,4,1,1,false,train
rosalad01,2014,AL,2B,5,5,117,7,10,1,3,false,train
colliza01,2021,AL,C,73,55,1519,611,29,4,1,false,train
raburry01,2016,NL,1B,5,3,69,14,5,1,2,false,train
rosared01,2021,AL,OF,72,72,1796,120,4,1,1,false,train
alberha01,2022,NL,3B,20,13,372,17,23,0,3,false,train
garcigr01,2015,NL,3B,4,1,24,2,1,0,0,false,train
avilemi01,2013,AL,2B,12,11,282,13,31,1,5,false,train
dejesiv02,2015,NL,3B,13,6,210,6,15,0,0,false,train
garcijo02,2023,NL,OF,19,15,366,30,1,1,0,false,test
anderta01,2019,AL,P,5,5,67,3,3,0,0,false,train
jeffery01,2020,AL,C,25,18,486,183,4,0,1,false,train
kershcl01,2018,NL,P,26,26,484,1,24,1,1,false,train
chacijh01,2019,AL,P,6,5,44,1,0,0,0,false,train
cabrace01,2013,AL,P,8,0,11,0,0,0,0,false,train
ruizke01,2023,NL,C,117,116,3044,888,36,8,5,false,test
barretr01,2022,NL,C,19,18,438,109,4,0,1,false,train
espinpa01,2021,NL,P,35,19,329,9,11,0,0,false,train
tejadru01,2016,NL,2B,4,0,26,2,2,0,2,false,train
richaga01,2016,AL,P,6,6,104,0,5,2,0,false,train
arciafr01,2018,AL,P,2,0,9,0,0,0,0,false,train
senzeni01,2020,NL,OF,23,20,516,39,2,1,1,false,train
gotttr01,2023,NL,P,34,0,87,2,6,1,0,false,test
stewach01,2014,NL,C,46,37,1053,308,29,3,0,false,train
cabremi01,2016,AL,1B,147,147,3786,1186,95,7,124,false,train
eibnebr01,2020,NL,P,3,0,10,0,0,0,0,false,train
vargail01,2023,NL,2B,18,12,321,25,34,0,9,false,test
grimmju01,2015,NL,P,62,0,149,2,0,1,0,false,train
adcocna01,2015,NL,P,13,0,54,2,3,1,0,false,train
wrighda04,2016,AL,P,5,5,80,2,5,0,1,false,train
chapmar01,2016,AL,P,31,0,94,3,3,0,0,false,train
krausma01,2013,AL,1B,2,0,12,2,0,0,1,false,train
altuvjo01,2021,AL,2B,144,143,3789,199,344,8,76,false,train
pierzaj01,2014,NL,C,23,20,543,155,6,2,1,false,train
stroppe01,2016,NL,P,54,0,142,5,5,1,0,false,train
herrmch01,2017,NL,OF,24,18,474,27,1,0,0,false,train
konerpa01,2013,AL,1B,76,76,1958,600,48,4,70,false,train
martiru01,2019,NL,3B,7,0,39,1,7,0,1,false,train
basabos01,2023,AL,OF,3,0,18,1,0,0,0,false,test
gotttr01,2019,NL,P,50,0,158,2,5,0,0,false,train
fernajo02,2014,NL,P,8,8,155,4,3,0,0,false,train
polloaj01,2017,NL,OF,109,99,2620,213,6,1,2,false,train
grandya01,2016,NL,1B,4,2,57,24,1,0,1,false,train
vargake01,2017,AL,1B,40,30,811,241,18,2,29,false,train
bourjpe01,2014,NL,OF,104,65,1948,194,0,2,0,false,train
shaffri01,2015,AL,3B,8,4,138,6,6,1,3,false,train
lopezni01,2023,AL,3B,27,22,569,14,51,0,4,false,test
goinsry01,2017,AL,2B,56,42,1150,70,111,3,23,false,train
zobribe01,2015,AL,2B,69,66,1769,117,185,3,53,false,train
sweenda02,2018,AL,3B,1,0,3,0,0,0,0,false,train
baezja01,2023,AL,SS,130,126,3307,153,324,19,70,false,test
erlinro01,2019,NL,P,37,1,166,4,8,1,0,false,train
stanery01,2019,AL,P,41,27,167,3,2,0,0,false,train
wilkest01,2021,AL,P,1,0,3,0,0,0,0,false,train
robindr01,2017,AL,2B,7,3,108,9,17,0,3,false,train
millebr02,2018,AL,1B,35,34,907,303,8,3,22,false,train
quintom01,2014,NL,SS,11,7,214,16,20,1,7,false,train
solando01,2016,AL,3B,2,1,39,0,0,1,0,false,train
wadety01,2023,AL,SS,17,13,330,14,39,1,5,false,test
ramirjo02,2017,NL,P,68,0,186,2,6,0,1,false,train
solarya01,2015,NL,1B,28,25,657,180,16,4,21,false,train
woodal02,2020,NL,P,9,2,38,0,1,0,0,false,train
hoodde01,2016,NL,OF,7,5,129,11,0,0,0,false,train
keuchda01,2021,AL,P,32,30,486,7,41,1,3,true,train
rasmudr01,2021,NL,P,15,0,51,1,2,0,0,false,train
solando01,2021,NL,2B,91,78,2062,121,184,7,37,false,train
bakerjo01,2013,NL,C,14,12,318,81,9,0,2,false,train
smoakju01,2013,AL,1B,125,121,3253,1035,60,5,101,false,train
goinsry01,2018,AL,2B,28,24,672,42,62,1,15,false,train
stromma01,2017,AL,P,33,33,603,9,37,1,6,true,train
herrmch01,2016,NL,1B,2,0,15,2,0,0,2,false,train
pestavi01,2014,AL,P,25,0,56,1,1,0,0,false,train
ramirro02,2021,NL,P,1,0,1,0,0,0,0,false,train
santaca01,2021,AL,1B,136,136,3501,1001,50,7,117,false,train
pradoma01,2017,NL,3B,34,33,840,22,63,2,6,false,train
quallch01,2015,AL,P,60,0,148,2,7,0,1,false,train
sauceta01,2023,AL,P,52,0,143,0,10,2,0,false,test
pettijo02,2014,NL,P,2,2,27,0,1,0,0,false,train
hugheja02,2020,NL,P,18,0,67,1,8,0,0,false,train
perezsa02,2021,AL,C,124,120,3008,975,61,2,12,false,train
freemfr01,2016,NL,1B,158,158,4235,1305,107,5,116,false,train
flahery01,2018,NL,3B,40,31,866,16,49,2,6,false,train
freemmi01,2020,AL,3B,6,2,78,3,6,1,0,false,train
gonzach01,2016,AL,P,3,3,31,0,1,0,0,false,train
zobribe01,2016,NL,2B,119,113,2929,177,250,7,52,false,train
escobed02,2016,NL,P,25,2,71,3,3,0,0,false,train
pinama01,2020,NL,C,13,12,295,117,7,0,2,false,train
mchugco01,2019,AL,P,35,8,224,6,6,1,1,false,train
kratzer01,2019,NL,C,11,9,264,101,7,4,0,false,train
puigya01,2016,NL,OF,95,81,2233,172,6,4,0,false,train
eatonad02,2016,AL,OF,156,154,4086,417,18,5,4,false,train
patinlu01,2020,NL,P,11,1,52,1,1,0,0,false,train
sanomi01,2022,AL,1B,19,17,441,131,5,2,9,false,train
suareeu01,2020,NL,3B,57,57,1419,47,75,5,10,false,train
wangwe01,2014,NL,P,14,0,52,1,1,0,0,false,train
merriwh01,2017,AL,2B,132,131,3428,232,341,11,93,false,train
marquge01,2020,NL,P,13,13,245,6,3,3,1,false,train
rodrife02,2014,AL,P,7,0,27,0,0,0,0,false,train
cabreas01,2021,NL,3B,65,55,1468,29,96,8,11,false,train
andujmi01,2022,AL,OF,19,18,466,39,0,0,0,false,train
ohse01,2018,AL,P,48,0,141,1,1,1,0,false,train
gimench01,2016,AL,C,59,42,1169,355,26,3,2,false,train
bostich01,2017,NL,2B,3,3,78,8,7,0,0,false,train
parkeja03,2019,AL,OF,5,3,103,5,0,0,0,false,train
keppije01,2013,AL,2B,45,41,1113,74,107,1,24,false,train
millean01,2015,AL,P,60,0,185,2,2,1,0,false,train
florewi01,2022,NL,3B,34,28,704,14,50,4,5,false,train
